DATE,KEY,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
2026-01-02,02/01/2026_07g00_1,52,49,3
2026-01-02,02/01/2026_07g00_2,71,56,15
2026-01-02,02/01/2026_09g30_1,5,2,3
2026-01-02,02/01/2026_09g30_2,20,13,7
2026-01-02,02/01/2026_13g00_1,14,12,2
2026-01-02,02/01/2026_13g00_2,35,29,6
2026-01-02,02/01/2026_15g30_1,5,5,0
2026-01-02,02/01/2026_15g30_2,4,4,0
2026-01-02,02/01/2026_18g15_1,7,5,2
2026-01-03,03/01/2026_07g00_1,20,11,9
2026-01-03,03/01/2026_07g00_2,28,20,8
2026-01-03,03/01/2026_09g30_1,27,27,0
2026-01-03,03/01/2026_09g30_2,39,39,0
2026-01-03,03/01/2026_13g00_1,11,8,3
2026-01-03,03/01/2026_13g00_2,14,11,3
2026-01-03,03/01/2026_15g30_1,2,2,0
2026-01-03,03/01/2026_15g30_2,3,3,0
2026-01-04,04/01/2026_07g00_1,33,26,7
2026-01-04,04/01/2026_07g00_2,50,33,17
2026-01-04,04/01/2026_09g30_1,15,10,5
2026-01-04,04/01/2026_09g30_2,4,4,0
2026-01-04,04/01/2026_13g00_1,20,17,3
2026-01-04,04/01/2026_13g00_2,38,29,9
2026-01-04,04/01/2026_15g30_1,6,6,0
2025-12-15,15/12/2025_07g00_1,42,41,1
2025-12-15,15/12/2025_07g00_2,71,67,4
2025-12-15,15/12/2025_09g30_1,19,16,3
2025-12-15,15/12/2025_09g30_2,13,7,6
2025-12-15,15/12/2025_13g00_1,10,9,1
2025-12-15,15/12/2025_13g00_2,24,20,4
2025-12-15,15/12/2025_15g30_1,2,2,0
2025-12-15,15/12/2025_15g30_2,3,3,0
2025-12-16,16/12/2025_07g00_1,15,12,3
2025-12-16,16/12/2025_07g00_2,8,5,3
2025-12-16,16/12/2025_09g30_1,9,9,0
2025-12-16,16/12/2025_09g30_2,18,15,3
2025-12-16,16/12/2025_13g00_1,18,18,0
2025-12-16,16/12/2025_13g00_2,36,32,4
2025-12-16,16/12/2025_15g30_1,7,6,1
2025-12-16,16/12/2025_15g30_2,15,11,4
2025-12-17,17/12/2025_07g00_1,39,35,4
2025-12-17,17/12/2025_07g00_2,61,49,12
2025-12-17,17/12/2025_13g00_1,44,41,3
2025-12-17,17/12/2025_13g00_2,64,52,12
2025-12-17,17/12/2025_15g30_1,1,1,0
2025-12-17,17/12/2025_15g30_2,1,1,0
2025-12-18,18/12/2025_07g00_1,22,18,4
2025-12-18,18/12/2025_07g00_2,43,37,6
2025-12-18,18/12/2025_09g30_1,5,4,1
2025-12-18,18/12/2025_09g30_2,7,7,0
2025-12-18,18/12/2025_13g00_1,42,41,1
2025-12-18,18/12/2025_13g00_2,56,44,12
2025-12-18,18/12/2025_15g30_1,4,4,0
2025-12-18,18/12/2025_15g30_2,5,5,0
2025-12-19,19/12/2025_07g00_1,12,9,3
2025-12-19,19/12/2025_07g00_2,38,28,10
2025-12-19,19/12/2025_09g30_1,40,39,1
2025-12-19,19/12/2025_09g30_2,48,48,0
2025-12-19,19/12/2025_13g00_1,26,23,3
2025-12-19,19/12/2025_13g00_2,55,39,16
2025-12-19,19/12/2025_15g30_1,2,2,0
2025-12-19,19/12/2025_15g30_2,4,4,0
2025-12-20,20/12/2025_07g00_2,2,2,0
2025-12-20,20/12/2025_09g30_1,1,1,0
2025-12-20,20/12/2025_09g30_2,2,2,0
2025-12-22,22/12/2025_07g00_1,55,54,1
2025-12-22,22/12/2025_07g00_2,59,57,2
2025-12-22,22/12/2025_09g30_1,11,11,0
2025-12-22,22/12/2025_09g30_2,51,47,4
2025-12-22,22/12/2025_13g00_1,21,18,3
2025-12-22,22/12/2025_13g00_2,36,25,11
2025-12-22,22/12/2025_15g30_1,3,3,0
2025-12-22,22/12/2025_15g30_2,24,24,0
2025-12-22,22/12/2025_18g15_1,12,8,4
2025-12-23,23/12/2025_07g00_1,55,54,1
2025-12-23,23/12/2025_07g00_2,57,53,4
2025-12-23,23/12/2025_09g30_1,21,20,1
2025-12-23,23/12/2025_09g30_2,57,52,5
2025-12-23,23/12/2025_13g00_1,14,13,1
2025-12-23,23/12/2025_13g00_2,33,25,8
2025-12-23,23/12/2025_15g30_1,2,2,0
2025-12-23,23/12/2025_15g30_2,4,4,0
2025-12-23,23/12/2025_18g15_1,12,9,3
2025-12-24,24/12/2025_07g00_1,53,51,2
2025-12-24,24/12/2025_07g00_2,70,54,16
2025-12-24,24/12/2025_09g30_1,12,10,2
2025-12-24,24/12/2025_09g30_2,14,10,4
2025-12-24,24/12/2025_13g00_1,31,31,0
2025-12-24,24/12/2025_13g00_2,64,58,6
2025-12-24,24/12/2025_15g30_1,10,10,0
2025-12-24,24/12/2025_15g30_2,6,6,0
2025-12-24,24/12/2025_18g15_1,18,14,4
2025-12-25,25/12/2025_07g00_1,51,46,5
2025-12-25,25/12/2025_07g00_2,62,43,19
2025-12-25,25/12/2025_09g30_1,5,5,0
2025-12-25,25/12/2025_09g30_2,11,10,1
2025-12-25,25/12/2025_13g00_1,14,12,2
2025-12-25,25/12/2025_13g00_2,19,17,2
2025-12-25,25/12/2025_15g30_1,7,7,0
2025-12-25,25/12/2025_15g30_2,2,2,0
2025-12-25,25/12/2025_18g15_1,12,10,2
2025-12-26,26/12/2025_07g00_1,44,43,1
2025-12-26,26/12/2025_07g00_2,66,54,12
2025-12-26,26/12/2025_09g30_1,22,20,2
2025-12-26,26/12/2025_09g30_2,17,16,1
2025-12-26,26/12/2025_13g00_1,15,15,0
2025-12-26,26/12/2025_13g00_2,67,53,14
2025-12-26,26/12/2025_15g30_1,7,7,0
2025-12-26,26/12/2025_15g30_2,3,3,0
2025-12-26,26/12/2025_18g15_1,6,3,3
2025-12-27,27/12/2025_07g00_1,3,3,0
2025-12-27,27/12/2025_07g00_2,30,30,0
2025-12-27,27/12/2025_09g30_1,11,11,0
2025-12-27,27/12/2025_09g30_2,12,12,0
2025-12-27,27/12/2025_13g00_1,14,9,5
2025-12-27,27/12/2025_13g00_2,11,11,0
2025-12-27,27/12/2025_15g30_1,7,6,1
2025-12-27,27/12/2025_15g30_2,7,7,0
2025-12-28,28/12/2025_07g00_1,5,5,0
2025-12-28,28/12/2025_07g00_2,4,4,0
2025-12-28,28/12/2025_09g30_1,14,14,0
2025-12-28,28/12/2025_13g00_1,20,19,1
2025-12-28,28/12/2025_13g00_2,19,18,1
2025-12-28,28/12/2025_15g30_1,8,6,2
2025-12-29,29/12/2025_07g00_1,27,24,3
2025-12-29,29/12/2025_07g00_2,54,40,14
2025-12-29,29/12/2025_09g30_1,3,3,0
2025-12-29,29/12/2025_13g00_1,19,18,1
2025-12-29,29/12/2025_13g00_2,34,31,3
2025-12-29,29/12/2025_18g15_1,9,9,0
2025-12-30,30/12/2025_07g00_1,37,35,2
2025-12-30,30/12/2025_07g00_2,64,47,17
2025-12-30,30/12/2025_09g30_1,21,21,0
2025-12-30,30/12/2025_09g30_2,47,47,0
2025-12-30,30/12/2025_13g00_1,13,13,0
2025-12-30,30/12/2025_13g00_2,14,13,1
2025-12-30,30/12/2025_15g30_1,1,1,0
2025-12-30,30/12/2025_15g30_2,4,4,0
2025-12-30,30/12/2025_18g15_1,3,3,0
2025-12-31,31/12/2025_07g00_1,41,38,3
2025-12-31,31/12/2025_07g00_2,61,49,12
2025-12-31,31/12/2025_09g30_1,8,8,0
2025-12-31,31/12/2025_09g30_2,12,11,1
2025-12-31,31/12/2025_13g00_1,14,14,0
2025-12-31,31/12/2025_13g00_2,28,26,2
2025-12-31,31/12/2025_15g30_1,6,6,0
2025-12-31,31/12/2025_15g30_2,12,11,1
2025-12-31,31/12/2025_18g15_1,3,2,1
